,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),79.14726350501951,1318.022712911423,1029.1651379519894,863.4227505133907,201.1247769689937,391.55848166297596
TCL(PV),78.28678381945505,1301.6245566596065,1019.8931935388857,855.5339058615473,199.1872452828515,388.69755390235935
E2E (PV),81.2912128227482,1344.3353307505695,1042.3838324457313,877.6983107268779,223.0282885474628,416.39641672066256
ECL(PV),76.60579378128796,1370.6175730136272,1006.8310104512551,851.4836543618607,190.4297635371308,373.3626850772032
E2E + ECL(PV),76.69794953481075,1379.145296786651,1006.9166202033078,852.122310735188,190.42752441819383,372.7463367564502
Original(Load),55.17489678449376,1081.7148900544423,815.998690356973,627.4647861913788,135.8428015212379,179.6123745380884
TCL(Load),53.175894947153175,1012.4172835688096,773.079004438927,600.7127226175605,131.60213463532662,174.26223680590928
E2E (Load),52.866865010695676,1003.3604613494135,769.8216463714413,598.4451409755582,129.25569290254677,168.81817137427248
ECL (Load),58.33993878199672,1179.8998099769733,887.9933943495392,679.986565906451,142.88261637284472,190.1948343176425
E2E+ECL (Load),58.36046600440923,1179.4312900218654,891.2839231176129,684.6490985271647,142.13163339347432,189.30362201080075
