,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),79.14726350501951,1318.022712911423,1029.1651379519894,863.4227505133907,201.1247769689937,391.55848166297596
TCL(PV),78.28678381945505,1301.6245566596065,1019.8931935388857,855.5339058615473,199.1872452828515,388.69755390235935
E2E (PV),79.53379606058786,1362.184989397424,1044.9716426571263,874.5050303050135,199.59938065567545,390.6022215153738
ECL(PV),76.6120877579405,1307.511319293195,1050.2252108539788,861.1691158803376,189.99360478768492,372.16506947004217
E2E + ECL(PV),77.57683941726253,1366.549583907347,1073.2567527134306,877.0147038646495,189.75255297431661,371.9431097828608
Original(Load),55.17489678449376,1081.7148900544423,815.998690356973,627.4647861913788,135.8428015212379,179.6123745380884
TCL(Load),53.175894947153175,1012.4172835688096,773.079004438927,600.7127226175605,131.60213463532662,174.26223680590928
E2E (Load),56.134533503378066,1137.5573894991323,839.552820877982,645.4720316733722,137.36074025135676,183.24965047534303
ECL (Load),58.173281623240364,1181.506060096416,861.8022459095389,673.0483161879146,143.26080967130437,191.01590036565648
E2E+ECL (Load),58.54721651252643,1212.0947944006073,876.161224753631,681.9353501924305,142.6291847843055,190.33797106185986
