,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),92.8497084950532,1526.7842885477692,1186.660388161265,1010.8815850661902,242.47543837918977,468.3304724599669
TCL(PV),80.18543765513407,1126.526995968279,941.7215829046781,836.2778066720076,217.35102492804856,410.70664260498944
E2E (PV),92.60420710020385,1519.8020718779949,1182.5266045795674,1007.8571950444184,241.93147612593205,466.9859576815857
ECL(PV),81.65125106842807,1205.0423943532082,984.6600357460308,862.0583531098713,219.1645497086585,414.05184930200073
E2E + ECL(PV),81.65397722047275,1206.9578861988155,985.4890328142908,862.4738327571056,219.07460019914396,414.20924433642716
Original(Load),56.84551640408608,940.3171369122082,760.4488588272129,646.598610818332,142.96560995128948,189.21473035970718
TCL(Load),56.7857875118056,964.7126086130896,779.0788745055135,659.302591544127,140.0466002657954,185.75605144158274
E2E (Load),56.30948591120648,947.551589364108,764.1885410672461,648.05314763073,139.86407750198367,187.545974847437
ECL (Load),58.634953667354466,987.7961101325811,797.064035313716,676.0378075363768,145.61050409217518,197.08610977356477
E2E+ECL (Load),58.7661531155102,991.0440750596501,799.1157717648765,677.3243715990014,146.02333338593527,197.74549330981583
