,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),92.8497084950532,1526.7842885477692,1186.660388161265,1010.8815850661902,242.47543837918977,468.3304724599669
TCL(PV),80.18543765513407,1126.526995968279,941.7215829046781,836.2778066720076,217.35102492804856,410.70664260498944
E2E (PV),94.69823775172914,1600.6955892329063,1225.2324379165468,1036.2860084016718,246.05439666199308,477.24410639611483
ECL(PV),81.65125106842807,1205.0423943532082,984.6600357460308,862.0583531098713,219.1645497086585,414.05184930200073
E2E + ECL(PV),81.94550116018216,1214.810180975951,990.2211139295939,865.9098039805938,219.6994724418097,416.9794685697581
Original(Load),56.84551640408608,940.3171369122082,760.4488588272129,646.598610818332,142.96560995128948,189.21473035970718
TCL(Load),56.7857875118056,964.7126086130896,779.0788745055135,659.302591544127,140.0466002657954,185.75605144158274
E2E (Load),58.74618275284561,937.3669839068508,762.8247951974066,652.4632367215969,151.74255051223872,196.43159196331226
ECL (Load),58.634953667354466,987.7961101325811,797.064035313716,676.0378075363768,145.61050409217518,197.08610977356477
E2E+ECL (Load),58.61284259937411,983.6063687998443,794.1528231549156,674.7230427142348,145.7474972456566,196.9948891862159
