,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),92.8497084950532,1526.7842885477692,1186.660388161265,1010.8815850661902,242.47543837918977,468.3304724599669
TCL(PV),80.18543765513407,1126.526995968279,941.7215829046781,836.2778066720076,217.35102492804856,410.70664260498944
E2E (PV),92.80537536436618,1525.3741525094179,1185.8642932367916,1010.3204021157788,242.38266299903052,468.06584551257873
ECL(PV),94.44105646944732,1593.8037329345993,1220.8806885218467,1032.983011110643,245.4751610615503,475.5340104362693
E2E + ECL(PV),94.42300893553386,1593.2861979188083,1220.5796382198487,1032.7656293027426,245.4351544558323,475.43361988378217
Original(Load),56.84551640408608,940.3171369122082,760.4488588272129,646.598610818332,142.96560995128948,189.21473035970718
TCL(Load),56.7857875118056,964.7126086130896,779.0788745055135,659.302591544127,140.0466002657954,185.75605144158274
E2E (Load),56.691375378959165,941.2375680960373,760.7609981979505,646.5163798050405,142.1736666328916,188.68684904825392
ECL (Load),59.381574066829515,940.3982932148865,765.9539796803364,655.4703381217724,154.6387467977673,199.07709116469687
E2E+ECL (Load),59.167681636110046,940.3765962496625,765.5097362715561,654.6451763004005,153.70854647228475,198.34726855504863
